Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q,Tair_gap,Q_gap,segment_id
-999,-999,-999,9.415823872884005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.408221181234012,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.53427403767904,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.13590901692703,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.696964518229038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.2760673522950015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.458847300212028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.814459737142045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.11109695434601,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.045650736491041,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.288448588053029,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.319404856364031,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.853471374512026,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.377891794841048,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.168762461344045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.800019836426032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.480045572917049,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.204988098145009,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.880802408854038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.089120483398004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.880672709147008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.360320027669047,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.163095092773005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.083008066813022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.260953521728029,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.517432149251022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.072516377767045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.686181640625025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.492578125000025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
