DateTime,Air Temperature (1.5m)
2021-04-20,9.28548
2021-04-21,11.302862
2021-04-22,12.148324
2021-04-23,8.838829
2021-04-24,10.1817468
2021-04-25,10.4316533
2021-04-26,9.3552133
2021-04-27,7.5499298
2021-04-28,7.0427711
2021-04-29,4.964603
2021-04-30,4.9050094
2021-05-01,9.217474
2021-05-02,5.984906
2021-05-03,3.0560563
2021-05-04,4.8522344
2021-05-05,6.824305
2021-05-06,9.515092
2021-05-07,9.708168
2021-05-08,10.0652715
2021-05-09,10.80798
2021-05-10,13.995783
2021-05-11,15.228444
2021-05-12,14.149913122
2021-05-13,10.013164
2021-05-14,4.021631
2021-05-15,2.6212874
2021-05-16,11.237055
2021-05-17,8.3455113
2021-05-18,10.7992731
2021-05-19,7.461239
2021-05-20,8.6515994
2021-05-21,8.424954
2021-05-22,5.861178
2021-05-23,6.913028278
2021-05-24,8.06887
2021-05-25,6.807328
2021-05-26,5.6998497
2021-05-27,4.5828112
2021-05-28,2.590575
2021-05-29,4.227041
2021-05-30,8.8951493
2021-05-31,6.6797857
2021-06-01,4.790199
2021-06-02,5.1476944
2021-06-03,6.202236
2021-06-04,4.9490633
2021-06-05,6.9906583
2021-06-06,6.975027
2021-06-07,11.5161537
2021-06-08,11.332233
2021-06-09,9.3880553
2021-06-10,9.9575819
2021-06-11,8.980408
2021-06-12,9.5454054
2021-06-13,9.6783152
2021-06-14,8.487127
2021-06-15,12.2341584
2021-06-16,11.455706
2021-06-17,8.83627
2021-06-18,8.031423
2021-06-19,6.296735
2021-06-20,8.36246
2021-06-21,9.5138328
2021-06-22,7.458199
2021-06-23,5.4237606
2021-06-24,2.9030796
2021-06-25,3.7930749
2021-06-26,7.84209748
2021-06-27,11.076183
2021-06-28,11.34516
2021-06-29,7.010236
2021-06-30,0.6320056
2021-07-01,1.4876076
2021-07-02,2.2908542
2021-07-03,0.6711407
2021-07-04,0.1303613
2021-07-05,0.3476502
2021-07-06,-0.2067172
2021-07-07,4.789626
2021-07-08,7.704956671
2021-07-09,4.3013054
2021-07-10,4.6638008
2021-07-11,4.9693894
2021-07-12,1.6508706
2021-07-13,1.7183975
2021-07-14,1.986002
2021-07-15,1.248785
2021-07-16,5.8184467
2021-07-17,8.0057374
2021-07-18,12.223036
2021-07-19,8.370105
2021-07-20,5.9606426
2021-07-21,5.0791714
2021-07-22,6.0761794
2021-07-23,8.18905
2021-07-24,5.64784
2021-07-25,4.939536
2021-07-26,6.7151868
2021-07-27,9.2783685
2021-07-28,5.819594
2021-07-29,6.236748
2021-07-30,6.7176577
2021-07-31,6.3421455
2021-08-01,7.0956295
2021-08-02,3.99599225588
2021-08-03,4.531178
2021-08-04,5.058785
2021-08-05,2.5128376
2021-08-06,5.9138734
2021-08-07,6.535149
2021-08-08,6.5497603
2021-08-09,5.5995754
2021-08-10,-0.3471818
2021-08-11,1.843113
2021-08-12,5.930359
2021-08-13,6.768289
2021-08-14,7.11645195
2021-08-15,6.055958
2021-08-16,4.3301456
2021-08-17,6.599212
2021-08-18,8.04019
2021-08-19,3.261912
2021-08-20,3.8877905
2021-08-21,5.2986407
2021-08-22,2.8448474
2021-08-23,4.2458135
2021-08-24,4.1019308
2021-08-25,2.9797316
2021-08-26,3.96155797
2021-08-27,4.195646
2021-08-28,8.129858
2021-08-29,9.1253014
2021-08-30,8.767013
2021-08-31,6.676729
2021-09-01,3.844572
2021-09-02,3.0871819
2021-09-03,5.013345
2021-09-04,4.1371106
2021-09-05,5.4397079
2021-09-06,5.1203785
2021-09-07,6.26238
2021-09-08,10.0134069
2021-09-09,4.185416
2021-09-10,5.057716
2021-09-11,9.2486067
2021-09-12,5.6996857
2021-09-13,6.6958477
2021-09-14,8.987439
2021-09-15,6.6477873
2021-09-16,7.08887618
2021-09-17,7.499768
2021-09-18,4.275805
2021-09-19,2.917232
2021-09-20,5.0767938
2021-09-21,7.732075
2021-09-22,7.909824
2021-09-23,9.9516049
2021-09-24,12.9716587
2021-09-25,8.5188786
2021-09-26,8.874126
2021-09-27,7.6152353
2021-09-28,5.287295
2021-09-29,2.713898
2021-09-30,5.641058
2021-10-01,6.678993
2021-10-02,7.679753
2021-10-03,8.26579
2021-10-04,9.235548
2021-10-05,11.9369248
2021-10-06,9.877358
2021-10-07,12.17295
2021-10-08,12.717694
2021-10-09,10.8461899
2021-10-10,8.856855
2021-10-11,7.6073865
2021-10-12,8.4003269
2021-10-13,7.0894715
2021-10-14,3.0496627
2021-10-15,5.049518
2021-10-16,6.8157578
2021-10-17,8.407768
2021-10-18,10.3955966
2021-10-19,11.9933614
2021-10-20,10.761368
2021-10-21,9.2575605
2021-10-22,10.003618
2021-10-23,9.548264
2021-10-24,10.5815972
2021-10-25,13.1305556
2021-10-26,15.79132
2021-10-27,16.454167
2021-10-28,13.9298611
2021-10-29,13.409722
2021-10-30,11.0753472
2021-10-31,12.198958
2021-11-01,11.5395833
2021-11-02,10.4878472
2021-11-03,11.193403
2021-11-04,6.561111
2021-11-05,8.002778
2021-11-06,11.2715278
2021-11-07,12.29375
2021-11-08,13.0715278
2021-11-09,13.0256945
2021-11-10,14.30763885
2021-11-11,15.53368053
2021-11-12,15.1711805
2021-11-13,15.122222
2021-11-14,16.7184028
2021-11-15,15.577083
2021-11-16,13.2854167
2021-11-17,11.7888889
2021-11-18,9.7010417
2021-11-19,11.2
2021-11-20,12.2118056
2021-11-21,12.644792
2021-11-22,14.776736
2021-11-23,13.925
2021-11-24,12.1739583
2021-11-25,11.4645834
2021-11-26,13.095486
2021-11-27,12.294444
2021-11-28,14.315278
2021-11-29,13.65937501
2021-11-30,15.32152777
2021-12-01,14.5736111
2021-12-02,14.901736
2021-12-03,14.785764
2021-12-04,15.23125
2021-12-05,15.460416615
2021-12-06,17.661806
2021-12-07,16.85486
2021-12-08,16.638542
2021-12-09,16.4260416
2021-12-10,16.3097222
2021-12-11,17.2375
2021-12-12,17.668403
2021-12-13,13.8701389
2021-12-14,17.881945
2021-12-15,16.088889
2021-12-16,18.466667
2021-12-17,14.1100695
2021-12-18,13.6850695
2021-12-19,11.9315972
2021-12-20,13.523264
2021-12-21,14.35763888
2021-12-22,15.410764
2021-12-23,14.41388887
2021-12-24,16.21007
